project_id,language,num_jobs,num_steps_total,avg_steps_per_job,dependency_depth,sequence_id,sequence_length,job_sequences,has_checkout,has_setup,has_test,has_build,completeness_score,external_actions_count,has_chained_commands,events,num_events,has_push,has_pull_request,has_schedule,has_workflow_dispatch,schedule_pattern,uses_cache,cache_count,num_cache_keys,cache_keys,uses_reusable_workflows,uses_composite_actions,uses_local_actions,reusable_workflow_count,composite_action_count,local_action_count,total_modularity_constructs,total_actions,pinned_to_sha,pinned_to_tag,pinned_to_branch,unpinned,sha_percentage,tag_percentage,branch_percentage,unpinned_percentage,starts_with_checkout,first_step,last_step
EventStore/EventStoreDB-Client-Java,java,1,1,1.0,1,Set ESDB docker repo,1,[provide_docker]: Set ESDB docker repo,0,0,0,0,0.0,0,1,workflow_call,1,0,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,Set ESDB docker repo,Set ESDB docker repo
rnovacek/homeassistant_cz_energy_spot_prices,python,1,1,1.0,1,HACS Action,1,[hacs]: HACS Action,0,0,0,0,0.0,1,0,"pull_request, push, schedule",3,1,1,1,0,0 0 * * *,0,0,0,,0,0,0,0,0,0,0,1,0,0,1,0,0.0,0.0,100.0,0.0,False,HACS Action,HACS Action
aws/aws-sam-build-images,python,3,10,3.33,3,"Echo ""Sam Cli Version=$(Curl -S Https://Pypi.Org/Pypi/Aws-Sa... → Checkout Repository → Setup Runtime Environment → Build Project → Orchestrate Workflow",5,"[get-sam-cli-version]: echo ""sam_cli_version=$(curl -s https://pypi.org/pypi/aws-sa... || [build-multi-arch]: actions/checkout → actions/setup-python → aws-actions/setup-sam → make init → SAM_CLI_VERSION=${{needs.get-sam-cli-version.outputs.sam_cli... → SAM_CLI_VERSION=${{needs.get-sam-cli-version.outputs.sam_cli... → SAM_CLI_VERSION=${{needs.get-sam-cli-version.outputs.sam_cli... || [run-workflow]: report-failure → report-success",1,1,0,1,0.75,3,0,"merge_group, pull_request",2,0,1,0,0,,0,0,0,,0,0,0,0,0,0,0,3,0,3,0,0,0.0,100.0,0.0,0.0,False,"Echo ""Sam Cli Version=$(Curl -S Https://Pypi.Org/Pypi/Aws-Sa...",Orchestrate Workflow
faucetsdn/udmi,java,9,91,10.11,3,Setup Runtime Environment → Checkout Repository → Execute Tests → Capture Test Output → Build Project → Check Spelling → Setup Base Environment → Setup Local Environment → Configure Build Profile → Log System Output → Collect Logs → support bundle → Upload Build Artifacts → Validate Outputs → Capture Messages → Clean Project Artifacts → Process Output Files → Collect Debug Logs → Collect Service Logs → Collect Application Logs → Download Build Artifacts → Process Support Package → Inspect Runtime Environment → Setup prerequisites → Build Container Image → Start Services,26,[unit]: actions/setup-java → actions/setup-python → Checkout source → start and test local servers → bin/run_tests all_tests → all test output → gencode test output → validator test output → pubber test output → udmis test output → site test output || [spelling]: actions/checkout → Check Spelling || [automapping]: actions/checkout → actions/setup-java → base setup → local setup → bin/test_automapper → extra devices → udmis log → pubber log → captured messages → support bundle → actions/upload-artifact || [baseline]: actions/checkout → actions/setup-java → base setup → local setup → registrar clean → special sequences → telemetry validator → validator result → message captures → nostate sequences → support bundle → actions/upload-artifact || [sequencer]: actions/checkout → actions/setup-java → base setup → local setup → registrar clean → sequence tests clean → sequence tests alpha → sequence test post-process → itemized sequencer tests → output files → pubber logs → udmis log → itemized test post-process → support bundle → actions/upload-artifact || [runlocal]: actions/checkout → actions/setup-java → base setup → local setup → bin/test_etcd → bin/test_mosquitto → bin/test_regclean → bin/test_runlocal → bin/test_sequencer → bin/test_udmis → mosquitto debug → udmis log → mosquitto logs → support bundle → actions/upload-artifact || [endpoint]: actions/checkout → actions/setup-java → base setup → local setup → regclean → bin/test_proxy → bin/test_redirect → pubber.log → support bundle → actions/upload-artifact || [posttest]: actions/checkout → actions/setup-python → Base setup → Download all sharded support packages → Upload merged support package → Processing support package → Test run index → Sequencer validation → Itemized validation || [discovery]: actions/checkout → actions/setup-java → Setup prerequisites → Build UDMIS container → Start UDMIS container → Run Tests,1,1,1,1,1.0,6,1,"pull_request, push, schedule, workflow_dispatch",4,1,1,1,1,0 13 * * *,0,0,0,,0,0,0,0,0,0,0,6,0,5,0,1,0.0,83.3,0.0,16.7,False,Setup Runtime Environment,Start Services
contrailcirrus/pycontrails,python,2,10,5.0,2,Install Project Dependencies → Checkout Repository → Generate Version Metadata → Setup Runtime Environment → Configure Cloud Resources → Build Project → Build Documentation → Upload Build Artifacts → Deploy Application,9,[build]: OS Dependencies → actions/checkout → Get the pycontrails version → actions/setup-python → Authenticate to Google Cloud → Install pycontrails (dev) → Install latest pycontrails-bada → Build docs → Upload artifact || [deploy]: Deploy to GitHub Pages,1,1,0,1,0.75,5,0,"push, workflow_dispatch",2,1,0,0,1,,0,0,0,,0,0,0,0,0,0,0,5,0,5,0,0,0.0,100.0,0.0,0.0,False,Install Project Dependencies,Deploy Application
ami-iit/matio-cpp,c++,1,1,1.0,1,Auto-assign issue,1,[auto-assign]: Auto-assign issue,0,0,0,0,0.0,1,0,issues,1,0,0,0,0,,0,0,0,,0,0,0,0,0,0,0,1,0,1,0,0,0.0,100.0,0.0,0.0,False,Auto-assign issue,Auto-assign issue
NEUBIAS/training-resources,python,1,14,14.0,1,Setup Runtime Environment → Install Project Dependencies → Checkout Repository → Generate Version Metadata → Install needed packages → Query dependencies → Manage Build Cache → Build Project,8,"[check-template]: Set up Ruby → Set up Python → Install GitHub Pages, Bundler, and kramdown gems → Install Python modules → Checkout the ${{ matrix.lesson }} lesson → Determine the proper reference to use → Sync lesson with carpentries/styles → Look for R-markdown files → Set up R → Install needed packages → Query dependencies → Cache R packages → Install system dependencies for R packages → make site",1,1,0,1,0.75,5,1,"pull_request, push",2,1,1,0,0,,1,1,1,${{ runner.os }}-${{ hashFiles('.github/R-version') }}-1-${{ hashFiles('.github/depends.Rds') }},0,0,0,0,0,0,0,5,0,3,2,0,0.0,60.0,40.0,0.0,False,Setup Runtime Environment,Build Project
physiopy/phys2bids,python,1,1,1.0,1,toshimaru/auto-author-assign,1,[assign-author]: toshimaru/auto-author-assign,0,0,0,0,0.0,1,0,"issues, pull_request_target",2,0,0,0,0,,0,0,0,,0,0,0,0,0,0,0,1,0,1,0,0,0.0,100.0,0.0,0.0,False,toshimaru/auto-author-assign,toshimaru/auto-author-assign
DataTalksClub/course-management-platform,python,1,9,9.0,1,Export Environment Configuration → Checkout Repository → Setup Runtime Environment → Install Project Dependencies → Execute Tests → Build Container Image → Configure Cloud Resources → Upload Build Artifacts → Deploy to Dev Environment,9,[build-and-deploy]: Prepare tags and repository info → Checkout code → Set up Python → Install dependencies → Run tests → Build Docker image → Log in to Amazon ECR → Push Docker image to Amazon ECR → Deploy to Dev Environment,1,1,1,1,1.0,2,0,push,1,1,0,0,0,,0,0,0,,0,0,0,0,0,0,0,2,0,2,0,0,0.0,100.0,0.0,0.0,False,Export Environment Configuration,Deploy to Dev Environment
googleapis/java-storage-nio,java,1,1,1.0,1,Execute Automation Script,1,[approve]: actions/github-script,0,0,0,0,0.0,1,0,pull_request,1,0,1,0,0,,0,0,0,,0,0,0,0,0,0,0,1,0,1,0,0,0.0,100.0,0.0,0.0,False,Execute Automation Script,Execute Automation Script
